                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.6031,                 4.1381,                 2.7821,                0.00015,                0.00771,                  8e-05,                  2e-05,                 3.0371,                 3.7243,                   2.14,                0.07028,              0.0033022,              0.0033022
                      1,                 3.1924,                 3.0346,                 2.0483,                 0.2063,                0.28187,                0.10948,                0.03567,                 3.1508,                  4.548,                 2.1156,               0.040277,              0.0066322,              0.0066322
                      2,                 2.4178,                 2.1081,                 1.6959,                0.61948,                0.43125,                0.46804,                0.24081,                 1.9362,                 5.0142,                 1.6162,               0.010271,               0.009959,               0.009959
                      3,                 2.0375,                 1.7232,                 1.4958,                0.72598,                 0.4686,                0.54807,                0.30044,                 1.8486,                 1.9535,                 1.5594,              0.0099851,              0.0099851,              0.0099851
                      4,                 1.8224,                 1.5121,                 1.3992,                0.74107,                0.42792,                0.49467,                 0.1833,                 2.8958,                 2.0409,                 1.8701,              0.0099851,              0.0099851,              0.0099851
                      5,                 1.7346,                 1.4582,                 1.3633,                0.73123,                0.49822,                0.57782,                 0.1986,                 2.5665,                  2.026,                 1.6727,              0.0099802,              0.0099802,              0.0099802
                      6,                 1.6524,                 1.3305,                  1.328,                 0.7606,                0.48914,                0.57825,                0.27744,                 2.1953,                 1.8834,                 1.5619,              0.0099753,              0.0099753,              0.0099753
                      7,                 1.6558,                 1.3282,                 1.3457,                0.81221,                0.58917,                0.68905,                0.34459,                  1.842,                 1.5053,                 1.4433,              0.0099703,              0.0099703,              0.0099703
                      8,                 1.5577,                 1.2428,                 1.2933,                0.83579,                0.59909,                0.70992,                0.34887,                 1.9453,                 1.4259,                 1.4477,              0.0099654,              0.0099654,              0.0099654
                      9,                 1.5424,                 1.2496,                 1.2993,                0.84449,                0.61205,                0.71503,                0.35912,                 2.0099,                 1.3615,                 1.4605,              0.0099604,              0.0099604,              0.0099604
                     10,                 1.5092,                 1.2272,                  1.275,                 0.8532,                0.63667,                0.73738,                0.36312,                 1.9784,                 1.3086,                 1.4436,              0.0099555,              0.0099555,              0.0099555
                     11,                 1.5115,                 1.2348,                 1.2775,                0.75372,                0.50177,                0.56533,                0.17497,                 2.9516,                  2.172,                 1.8041,              0.0099505,              0.0099505,              0.0099505
                     12,                  1.492,                 1.1981,                 1.2712,                0.85471,                0.63458,                0.73566,                0.36616,                 2.0282,                 1.2871,                 1.4416,              0.0099456,              0.0099456,              0.0099456
                     13,                 1.4683,                 1.1848,                 1.2578,                0.84095,                0.62677,                0.72755,                0.38263,                 1.8747,                 1.3299,                 1.4199,              0.0099406,              0.0099406,              0.0099406
                     14,                 1.4437,                 1.1263,                 1.2414,                 0.8497,                0.64777,                0.74639,                0.34617,                 2.0283,                 1.3534,                 1.4357,              0.0099357,              0.0099357,              0.0099357
                     15,                 1.4071,                  1.098,                  1.228,                0.84813,                0.65385,                0.74233,                0.32724,                 2.1657,                  1.371,                 1.4785,              0.0099307,              0.0099307,              0.0099307
                     16,                 1.4178,                 1.1459,                  1.238,                0.82082,                0.62521,                0.73332,                0.35415,                 2.0789,                 1.2442,                 1.4506,              0.0099258,              0.0099258,              0.0099258
                     17,                 1.4428,                 1.1428,                 1.2513,                0.84496,                0.62221,                0.73319,                0.34113,                  2.093,                  1.317,                 1.4507,              0.0099208,              0.0099208,              0.0099208
